[SYNTAX] ERROR: IN LINE NUMBER:	1:	Expected One of these tokens:	: 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	1 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	1 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	1 
[SYNTAX] WARNING: SKIPPING TOKEN:	class	AT LINE NUMBER:	2 
[SYNTAX] WARNING: SKIPPING TOKEN:	Foo2	AT LINE NUMBER:	2 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	2 
[SYNTAX] WARNING: SKIPPING TOKEN:	unknowVarType	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	flat	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	c	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	float	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	d	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	Foo1	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	1	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	2	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	3	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	4	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	8 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	8 
[SYNTAX] WARNING: SKIPPING TOKEN:	class	AT LINE NUMBER:	9 
[SYNTAX] WARNING: SKIPPING TOKEN:	Foo3	AT LINE NUMBER:	9 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	9 
[SYNTAX] WARNING: SKIPPING TOKEN:	unknownFuncType	AT LINE NUMBER:	10 
[SYNTAX] WARNING: SKIPPING TOKEN:	func	AT LINE NUMBER:	10 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	10 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	10 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	10 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	11 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	11 
[SYNTAX] WARNING: SKIPPING TOKEN:	float	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	func	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	float	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	13 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	13 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	func	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	float	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	,	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	Foo	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	b	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	3	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	14 
