[SYNTAX] ERROR: IN LINE NUMBER:	1:	Expected One of these tokens:	: 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	1 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	2 
[SYNTAX] WARNING: SKIPPING TOKEN:	numerator	AT LINE NUMBER:	2 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	2 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	denominator	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	setNumerator	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	newNumerator	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	numerator	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	newNumerator	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	8 
[SYNTAX] WARNING: SKIPPING TOKEN:	setDenominator	AT LINE NUMBER:	8 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	8 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	8 
[SYNTAX] WARNING: SKIPPING TOKEN:	newDenominator	AT LINE NUMBER:	8 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	8 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	9 
[SYNTAX] WARNING: SKIPPING TOKEN:	denominator	AT LINE NUMBER:	10 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	10 
[SYNTAX] WARNING: SKIPPING TOKEN:	newDenominator	AT LINE NUMBER:	10 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	10 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	11 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	11 
[SYNTAX] WARNING: SKIPPING TOKEN:	Rational	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	multiply	AT LINE NUMBER:	12 
