[SYNTAX] ERROR: IN LINE NUMBER:	1:	Expected One of these tokens:	: 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	1 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	2 
[SYNTAX] WARNING: SKIPPING TOKEN:	var1	AT LINE NUMBER:	2 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	2 
[SYNTAX] WARNING: SKIPPING TOKEN:	float	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	var2	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	var3	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	float	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	var4	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	2	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	3	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	4	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	6	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	7	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	Utility	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	utility	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	FindMax	AT LINE NUMBER:	7 
