=================================================================================================
Node type                 | data                 | type         | subtreestring 
=================================================================================================
AST.ProgNode              |                      |              | 
  AST.ClassListNode       |                      |              | 
    AST.ClassNode         |                      |              | 
      AST.IdNode          | class1               |              | class1
      AST.InherList       |                      |              | 
      AST.VarDeclListNode |                      |              | 
        AST.VarDeclNode   |                      |              | 
          AST.TypeNode    | float                |              | 
          AST.IdNode      | float1               | float        | 
          AST.DimListNode |                      |              | 
        AST.VarDeclNode   |                      |              | 
          AST.TypeNode    | int                  |              | 
          AST.IdNode      | int1                 | int          | 
          AST.DimListNode |                      |              | 
      AST.FuncDeclListNod |                      |              | 
    AST.ClassNode         |                      |              | 
      AST.IdNode          | class2               |              | class2
      AST.InherList       |                      |              | 
      AST.VarDeclListNode |                      |              | 
        AST.VarDeclNode   |                      |              | 
          AST.TypeNode    | int                  |              | 
          AST.IdNode      | in532                | int          | 
          AST.DimListNode |                      |              | 
            AST.NumNode   | 5                    |              | 
            AST.NumNode   | 3                    |              | 
            AST.NumNode   | 2                    |              | 
        AST.VarDeclNode   |                      |              | 
          AST.TypeNode    | float                |              | 
          AST.IdNode      | float10              | float        | 
          AST.DimListNode |                      |              | 
            AST.NumNode   | 10                   |              | 
        AST.VarDeclNode   |                      |              | 
          AST.TypeNode    | float                |              | 
          AST.IdNode      | float100             | float        | 
          AST.DimListNode |                      |              | 
            AST.NumNode   | 100                  |              | 
        AST.VarDeclNode   |                      |              | 
          AST.TypeNode    | float                |              | 
          AST.IdNode      | float1               | float        | 
          AST.DimListNode |                      |              | 
        AST.VarDeclNode   |                      |              | 
          AST.TypeNode    | int                  |              | 
          AST.IdNode      | int1                 | int          | 
          AST.DimListNode |                      |              | 
      AST.FuncDeclListNod |                      |              | 
  AST.FuncDefListNode     |                      |              | 
    AST.FuncDefNode       |                      |              | 
      AST.FuncHeadNode    |                      |              | 
        AST.TypeNode      | int                  |              | 
        AST.IdNode        | func1                |              | 
        AST.IdNode        |                      |              | 
        AST.ParamListNode |                      |              | 
          AST.VarDeclNode |                      |              | 
            AST.TypeNode  | int                  |              | 
            AST.IdNode    | int532               |              | 
            AST.DimListNo |                      |              | 
              AST.NumNode | 5                    |              | 
              AST.NumNode | 3                    |              | 
              AST.NumNode | 2                    |              | 
          AST.VarDeclNode |                      |              | 
            AST.TypeNode  | float                |              | 
            AST.IdNode    | float100             |              | 
            AST.DimListNo |                      |              | 
              AST.NumNode | 100                  |              | 
      AST.StatBlockNode   |                      |              | 
        AST.VarDeclNode   |                      |              | 
          AST.TypeNode    | float                |              | 
          AST.IdNode      | float100             | float        | float100
          AST.DimListNode |                      |              | 
        AST.VarDeclNode   |                      |              | 
          AST.TypeNode    | int                  |              | 
          AST.IdNode      | a                    | int          | a
          AST.DimListNode |                      |              | 
        AST.VarDeclNode   |                      |              | 
          AST.TypeNode    | int                  |              | 
          AST.IdNode      | c                    | int          | c
          AST.DimListNode |                      |              | 
        AST.AssignStatNod | =                    | typeerror    | a=a+b*c
          AST.VarNode     |                      | int          | a
            AST.IdNode    | a                    | int          | a
          AST.AddOpNode   | +                    | typeerror    | a+b*c
            AST.DataMembe |                      | int          | a
              AST.IdNode  | a                    | int          | a
              AST.IndexLi |                      |              | 
            AST.MultOpNod | *                    | typeerror    | b*c
              AST.DataMem |                      | Undefined    | b
                AST.IdNod | b                    | Undefined    | b
                AST.Index |                      |              | 
              AST.DataMem |                      | int          | c
                AST.IdNod | c                    | int          | c
                AST.Index |                      |              | 
    AST.FuncDefNode       |                      |              | 
      AST.FuncHeadNode    |                      |              | 
        AST.TypeNode      | float                |              | 
        AST.IdNode        | func2                |              | 
        AST.IdNode        |                      |              | 
        AST.ParamListNode |                      |              | 
          AST.VarDeclNode |                      |              | 
            AST.TypeNode  | float                |              | 
            AST.IdNode    | float1               |              | 
            AST.DimListNo |                      |              | 
          AST.VarDeclNode |                      |              | 
            AST.TypeNode  | int                  |              | 
            AST.IdNode    | int1                 |              | 
            AST.DimListNo |                      |              | 
      AST.StatBlockNode   |                      |              | 
        AST.VarDeclNode   |                      |              | 
          AST.TypeNode    | int                  |              | 
          AST.IdNode      | int532               | int          | int532
          AST.DimListNode |                      |              | [5][3][2]
            AST.NumNode   | 5                    |              | 5
            AST.NumNode   | 3                    |              | 3
            AST.NumNode   | 2                    |              | 2
        AST.VarDeclNode   |                      |              | 
          AST.TypeNode    | float                |              | 
          AST.IdNode      | float100             | float        | float100
          AST.DimListNode |                      |              | [100]
            AST.NumNode   | 100                  |              | 100
        AST.VarDeclNode   |                      |              | 
          AST.TypeNode    | int                  |              | 
          AST.IdNode      | a                    | int          | a
          AST.DimListNode |                      |              | 
        AST.VarDeclNode   |                      |              | 
          AST.TypeNode    | int                  |              | 
          AST.IdNode      | x                    | int          | x
          AST.DimListNode |                      |              | 
