[SYNTAX] ERROR: IN LINE NUMBER:	1:	Expected One of these tokens:	: 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	1 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	2 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	2 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	2 
[SYNTAX] WARNING: SKIPPING TOKEN:	float	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	b	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	c	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	20	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	min	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	x	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	if	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	x	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	>	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	then	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	return	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	else	AT LINE NUMBER:	8 
