=================================================================================================
Node type                 | data                 | type         | subtreestring    | symtabentry 
=================================================================================================
AST.ProgNode              |                      |              |                  | 
  AST.ClassListNode       |                      |              |                  | 
  AST.FuncDefListNode     |                      |              |                  | 
  AST.StatBlockNode       |                      |              |                  | 
    AST.VarDeclNode       |                      |              |                  | 
      AST.TypeNode        | int                  |              |                  | 
      AST.IdNode          | a                    |              | a                | 
      AST.DimListNode     |                      |              |                  | 
        AST.NumNode       | 10                   |              |                  | 
        AST.NumNode       | 10                   |              |                  | 
    AST.VarDeclNode       |                      |              |                  | 
      AST.TypeNode        | int                  |              |                  | 
      AST.IdNode          | b                    |              | b                | 
      AST.DimListNode     |                      |              |                  | 
        AST.NumNode       |                      |              |                  | 
    AST.AssignStatNode    | =                    |              | null=null        | 
      AST.VarNode         |                      |              |                  | 
        AST.IdNode        | a                    |              | a                | 
      AST.ExprNode        |                      |              |                  | 
        AST.ArithExprNode |                      |              |                  | 
          AST.NumNode     | 7                    |              |                  | 
=================================================================================================
