=================================================================================================
Node type                 | data                 | type         | subtreestring    | symtabentry 
=================================================================================================
AST.ProgNode              |                      |              |                  | 
  AST.ClassListNode       |                      |              |                  | 
    AST.ClassNode         |                      |              |                  | 
      AST.IdNode          | Foo                  |              | Foo              | 
      AST.InherList       |                      |              |                  | 
      AST.VarDeclListNode |                      |              |                  | 
        AST.VarDeclNode   |                      |              |                  | 
          AST.TypeNode    | int                  |              |                  | 
          AST.IdNode      | i                    |              | i                | 
          AST.DimListNode |                      |              |                  | 
      AST.FuncDeclListNod |                      |              |                  | 
    AST.ClassNode         |                      |              |                  | 
      AST.IdNode          | Foo1                 |              | Foo1             | 
      AST.InherList       |                      |              |                  | 
      AST.VarDeclListNode |                      |              |                  | 
        AST.VarDeclNode   |                      |              |                  | 
          AST.TypeNode    | int                  |              |                  | 
          AST.IdNode      | i                    |              | i                | 
          AST.DimListNode |                      |              |                  | 
      AST.FuncDeclListNod |                      |              |                  | 
  AST.FuncDefListNode     |                      |              |                  | 
  AST.StatBlockNode       |                      |              |                  | 
    AST.VarDeclNode       |                      |              |                  | 
      AST.TypeNode        | int                  |              |                  | 
      AST.IdNode          | i_int                |              | i_int            | 
      AST.DimListNode     |                      |              |                  | 
    AST.VarDeclNode       |                      |              |                  | 
      AST.TypeNode        | float                |              |                  | 
      AST.IdNode          | f_float              |              | f_float          | 
      AST.DimListNode     |                      |              |                  | 
    AST.VarDeclNode       |                      |              |                  | 
      AST.IdNode          | Foo                  |              | Foo              | 
      AST.IdNode          | foo                  |              | foo              | 
      AST.DimListNode     |                      |              |                  | 
    AST.VarDeclNode       |                      |              |                  | 
      AST.IdNode          | Foo1                 |              | Foo1             | 
      AST.IdNode          | foo1                 |              | foo1             | 
      AST.DimListNode     |                      |              |                  | 
    AST.AssignStatNode    | =                    |              | null=null        | 
      AST.VarNode         |                      |              |                  | 
        AST.IdNode        | i_int                |              | i_int            | 
      AST.ExprNode        |                      |              |                  | 
        AST.ArithExprNode |                      |              |                  | 
          AST.VarNode     |                      |              |                  | 
            AST.VarElemen |                      |              |                  | 
              AST.FCallNo |                      |              |                  | 
                AST.IdNod | intMax               |              | intMax           | 
                AST.APara |                      |              |                  | 
    AST.AssignStatNode    | =                    |              | null=null        | 
      AST.VarNode         |                      |              |                  | 
        AST.VarElementNod |                      |              |                  | 
          AST.DataMemberN |                      |              |                  | 
            AST.IdNode    | i_int                |              | i_int            | 
            AST.IndexList |                      |              |                  | 
      AST.ExprNode        |                      |              |                  | 
        AST.ArithExprNode |                      |              |                  | 
          AST.VarNode     |                      |              |                  | 
            AST.VarElemen |                      |              |                  | 
              AST.FCallNo |                      |              |                  | 
                AST.IdNod | floatMin             |              | floatMin         | 
                AST.APara |                      |              |                  | 
    AST.AssignStatNode    | =                    |              | null=null        | 
      AST.VarNode         |                      |              |                  | 
        AST.VarElementNod |                      |              |                  | 
          AST.DataMemberN |                      |              |                  | 
            AST.IdNode    | i_int                |              | i_int            | 
            AST.IndexList |                      |              |                  | 
      AST.ExprNode        |                      |              |                  | 
        AST.ArithExprNode |                      |              |                  | 
          AST.VarNode     |                      |              |                  | 
            AST.VarElemen |                      |              |                  | 
              AST.FCallNo |                      |              |                  | 
                AST.IdNod | min                  |              | min              | 
                AST.APara |                      |              |                  | 
=================================================================================================
