=================================================================================================
Node type                 | data                 | type         | subtreestring 
=================================================================================================
AST.ProgNode              |                      |              | 
  AST.ClassListNode       |                      |              | 
  AST.FuncDefListNode     |                      |              | 
    AST.FuncDefNode       |                      |              | 
      AST.FuncHeadNode    |                      |              | 
        AST.TypeNode      | Class                |              | 
        AST.IdNode        | foo1                 |              | 
        AST.IdNode        |                      |              | 
        AST.ParamListNode |                      |              | 
      AST.StatBlockNode   |                      |              | 
        AST.VarDeclNode   |                      |              | 
          AST.TypeNode    | int                  |              | 
          AST.IdNode      | id                   | int          | id
          AST.DimListNode |                      |              | 
        AST.VarDeclNode   |                      |              | 
          AST.TypeNode    | int                  |              | 
          AST.IdNode      | id                   | int          | id
          AST.DimListNode |                      |              | 
    AST.FuncDefNode       |                      |              | 
      AST.FuncHeadNode    |                      |              | 
        AST.TypeNode      | Class                |              | 
        AST.IdNode        | foo1                 |              | 
        AST.IdNode        |                      |              | 
        AST.ParamListNode |                      |              | 
      AST.StatBlockNode   |                      |              | 
    AST.FuncDefNode       |                      |              | 
      AST.FuncHeadNode    |                      |              | 
        AST.TypeNode      | int                  |              | 
        AST.IdNode        | func                 |              | 
        AST.IdNode        |                      |              | 
        AST.ParamListNode |                      |              | 
      AST.StatBlockNode   |                      |              | 
  AST.ProgramBlockNode    |                      |              | 
=================================================================================================
